TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
2771000000.0	133871688.2	112191375.7	153520493.2
2772000000.0	133885035.1	112199069.4	153543159.5
2773000000.0	133898375.6	112206758.8	153565818.2
2774000000.0	133911709.7	112214443.8	153588469.4
2775000000.0	133925037.3	112222124.5	153611113.1
2776000000.0	133938358.6	112229800.9	153633749.2
2777000000.0	133951673.4	112237473.0	153656377.9
2778000000.0	133964981.8	112245140.7	153678999.0
2779000000.0	133978283.8	112252804.2	153701612.6
2780000000.0	133991579.4	112260463.3	153724218.8
2781000000.0	134004868.5	112268118.2	153746817.4
2782000000.0	134018151.3	112275768.7	153769408.5
2783000000.0	134031427.7	112283415.0	153791992.2
2784000000.0	134044697.8	112291056.9	153814568.4
2785000000.0	134057961.4	112298694.6	153837137.0
2786000000.0	134071218.7	112306328.0	153859698.2
2787000000.0	134084469.6	112313957.1	153882252.0
2788000000.0	134097714.1	112321582.0	153904798.2
2789000000.0	134110952.3	112329202.5	153927337.0
2790000000.0	134124184.1	112336818.8	153949868.3
2791000000.0	134137409.5	112344430.9	153972392.2
2792000000.0	134150628.7	112352038.7	153994908.6
2793000000.0	134163841.4	112359642.2	154017417.6
2794000000.0	134177047.9	112367241.5	154039919.1
2795000000.0	134190248.0	112374836.5	154062413.2
2796000000.0	134203441.7	112382427.3	154084899.9
2797000000.0	134216629.2	112390013.8	154107379.1
2798000000.0	134229810.3	112397596.1	154129850.9
2799000000.0	134242985.1	112405174.1	154152315.2
2800000000.0	134256153.6	112412748.0	154174772.1
2801000000.0	134269315.8	112420317.6	154197221.7
2802000000.0	134282471.7	112427882.9	154219663.8
2803000000.0	134295621.3	112435444.1	154242098.5
2804000000.0	134308764.6	112443001.0	154264525.7
2805000000.0	134321901.6	112450553.7	154286945.6
2806000000.0	134335032.3	112458102.3	154309358.1
2807000000.0	134348156.8	112465646.6	154331763.2
2808000000.0	134361275.0	112473186.7	154354160.9
2809000000.0	134374386.9	112480722.5	154376551.2
2810000000.0	134387492.5	112488254.2	154398934.2
2811000000.0	134400591.9	112495781.8	154421309.7
2812000000.0	134413685.0	112503305.1	154443677.9
2813000000.0	134426771.9	112510824.2	154466038.7
2814000000.0	134439852.5	112518339.1	154488392.2
2815000000.0	134452926.9	112525849.9	154510738.3
