TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
8589000000.0	209212460.0	168478343.1	344225409.8
8590000000.0	209217337.6	168480734.8	344248920.7
8591000000.0	209222214.3	168483126.0	344272430.1
8592000000.0	209227090.2	168485516.8	344295938.0
8593000000.0	209231965.2	168487907.0	344319444.4
8594000000.0	209236839.4	168490296.8	344342949.4
8595000000.0	209241712.7	168492686.2	344366452.9
8596000000.0	209246585.2	168495075.0	344389954.8
8597000000.0	209251456.8	168497463.4	344413455.4
8598000000.0	209256327.5	168499851.2	344436954.4
8599000000.0	209261197.4	168502238.7	344460451.9
8600000000.0	209266066.4	168504625.6	344483948.0
8601000000.0	209270934.6	168507012.0	344507442.6
8602000000.0	209275801.9	168509398.0	344530935.7
8603000000.0	209280668.4	168511783.5	344554427.3
8604000000.0	209285534.0	168514168.6	344577917.5
8605000000.0	209290398.8	168516553.1	344601406.1
8606000000.0	209295262.7	168518937.2	344624893.3
8607000000.0	209300125.7	168521320.8	344648379.0
8608000000.0	209304987.9	168523703.9	344671863.3
8609000000.0	209309849.3	168526086.6	344695346.0
8610000000.0	209314709.7	168528468.7	344718827.3
8611000000.0	209319569.4	168530850.4	344742307.1
8612000000.0	209324428.2	168533231.7	344765785.4
8613000000.0	209329286.1	168535612.4	344789262.2
8614000000.0	209334143.2	168537992.7	344812737.6
8615000000.0	209338999.4	168540372.5	344836211.5
8616000000.0	209343854.8	168542751.8	344859683.9
8617000000.0	209348709.3	168545130.7	344883154.8
8618000000.0	209353563.0	168547509.1	344906624.3
8619000000.0	209358415.8	168549887.0	344930092.2
8620000000.0	209363267.8	168552264.4	344953558.7
8621000000.0	209368118.9	168554641.4	344977023.7
8622000000.0	209372969.2	168557017.8	345000487.3
8623000000.0	209377818.6	168559393.8	345023949.3
8624000000.0	209382667.2	168561769.4	345047409.9
8625000000.0	209387514.9	168564144.4	345070869.0
8626000000.0	209392361.7	168566519.0	345094326.7
8627000000.0	209397207.8	168568893.2	345117782.8
